
===== mudiban.xlsx =====
-- sheet=2019报价 rows=168
R  4 | 项目内容
R 81 | 墙面基层处理（鸟巢腻子）
R 82 | 芬琳芬华五合一内墙乳胶漆
R 83 [FLOOR_MATCH=['地面保护']] | 地面保护
R 84 | 小计
R 85 | 综合
R 86 | 电安装（部份改动）
R 87 | 开关插座布线
R 88 | 电话线
R 89 | 电视线
R 90 | 光纤线
R 91 | 网线
R 92 | 音响线
R 93 | 液晶电视引线管
R 94 | 底盒、面板安装
R 95 | 专线(4MM2)
R 96 | 专线(6MM2)
R 97 | 专线(10MM2)
R 98 | 强电箱安装
R 99 | 弱电箱安装
R100 | 灯具安装
R101 | 布线开槽
R102 | 小计
R103 | 水安装（部份改动）
R104 | 冷、热给水管（布管）
R105 | 排水管安装
R106 | 排污管安装
R107 | 空调下水管安装
R108 | 总水阀安装
R109 | 小计
R110 | 其它
R111 | 门槛大理石铺贴
R112 | 沉箱架空处理
R113 | 沉箱回填
R114 | 包单排水管
R115 | 包双排水管
R116 | 室内高空作业费
R117 | 地漏安装
R118 | 墙面修补
R119 | 新建门洞(90CM内)
R120 | 中央空调风口加固
R121 | 蹲厕安装
R122 | 淋浴基石安装
R123 | 成品保护
R124 | 墙面防裂网
R125 | 阳台大理石挡水边
R126 | 烟道瓷片防脱落处理
R127 | 墙体拆除
R128 | 顶面白灰铲除
R129 | 砌墙（12分）
R130 | 墙面批档
R131 | 开荒保洁
R132 | 小计
R133 | 合计
R134 | 直接费
R135 | 以下项目不打折
R136 | 搬运费3.5%
R137 | 建渣清运3%
R138 | 管理费8%
R139 | 设计服务费5%
R140 | 总计
R141 | 税金=（总计*6%）
R142 | 补充报价
R143 | 抽屉及键盘
R144 | 小挂件安装
R145 | 洗手盆安装
R146 | 淋浴安装
R147 | 座厕安装
R148 | 蹲厕安装
R149 | 砌壁龛
R150 | 窗帘盒
R151 | 空调孔开孔
R152 | 开孔
R153 | 悬挂电视位红砖加固
R154 | 中央空调风口加固
R155 | 地暖后整体找平
R156 | 做地暖门洞升高
R157 | 淋浴基石安装
R158 | 顶面白灰铲除
R159 | 成品保护
R160 | 暗装预埋花洒
R161 | 暗装预埋水箱
R162 | 墙面防裂网
R163 | 阳台大理石挡水边
R164 | 烟道瓷片防脱落处理
R165 | 拆构造柱
R166 | 补充说明
R167 [FLOOR_MATCH=['地砖', '地板']] | 业主自购材料：大理石、地砖、瓷片、墙纸及墙布、艺术漆、木地板、灯具、洁具、橱柜及电器、铝扣吊顶、艺术玻璃、定制家具及护墙板、实木雕花、水龙头、门窗及门锁、五金件、开关插座面板、地漏、空调打洞、煤气总闸等
R168 [FLOOR_MATCH=['地砖']] | 贴砖补充说明：墙/地砖铺600*900或600*1200每平米另加16元，750*1500每平米加39元，800*1600每平米加49元，900*1800每平米加59元，菱形铺法每平米另加16元，仿木纹条形砖每平米另加20元，腰线12元/米，拼花铺法每平米另加28元，菱形拼花及小于或等于200*200的地∕墙砖铺贴每平米另加75元。
R169 | 如果您先做预算（指尚未出施工图纸），此报价仅供您参考或作为您与我公司签定合同的参考依据，我公司保留依施工图纸所用材料和加工件复杂系数 ，修订项目单价的权力（具体价格待施工图确定后再定）
R170 | 工程所在地方的房管局审批费用和物业管理处所交一切费用由业主支付；乙方协助提供甲方所需相关资料。施工中如有增减项目，以增减项目变更单为准结算工程款；工程结算时，按实际发生的工程量计算；
R171 | 主要材料品牌：兔宝宝欧松板（优等品）；立邦漆永得丽木制油漆；乳胶漆芬琳芬华全能内墙底漆、芬琳芬华五合一内墙乳胶漆；塔牌（低烟无卤阻燃）电线；安普恒讯宽频线（7类双屏蔽）及电话线；安普音响线；广东帝豪装饰专用伟星（福管）PPR抗菌水管；广东帝豪装饰专用伟星PVC-U斯派诺线管；伟星牌PVC-U（青韵）下水管；德高防水；广东帝豪装饰专用西牛牌防潮宝；德高地固漆；龙马牌白乳胶或兔宝宝白乳胶；兔宝宝净醛石膏板；匡山或海螺水泥、人工沙。如上述材料供应紧张，乙方可使用不低于上述档次的品牌材料
R172 | 超过二层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加合计费的2%；五层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加3% .（注：含有电梯但不准运输）以此类推。
R173 | 业主交纳工程款时，必须见到带有本公司财务公章的正规收据，否则本公司有权不予认可
R174 | 施工过程中，如果业主装修项目有违反建筑装饰施工条例的项目，本公司有权拒绝施工。(如甲方强制要求施工，本公司不予保修及承担任何责任）
R175 | 注：本报价中增加项目及水电项目未含以下项目不打折的费用，结算时应予以加上。
R176 | 业主：　　　　　审核：　　　　　　设计师：　　　　　　施工图：　　　　　效果图：　　　　　报价：

===== fushi.xlsx =====
-- sheet=7.4 rows=356
R  4 | 项目内容
R  8 | 台球厅及楼梯
R  9 | 窗帘盒
R 10 | 石膏板平面天花
R 11 | 造型天花
R 12 | 天花虚光灯槽
R 13 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（300-800MM）
R 14 | 勾缝处理
R 15 | 造型基层
R 16 | 墙顶面基层加固
R 17 | 墙面基层处理（鸟巢腻子）
R 18 | 芬琳芬华五合一内墙乳胶漆
R 19 | 墙面漆护角
R 20 | 防潮处理
R 21 [FLOOR_MATCH=['地面保护']] | 地面保护
R 22 | 小计
R 23 | 公卫
R 24 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴（800MM））
R 25 | 墙面贴瓷片
R 26 | 墙面瓷砖刷背胶
R 27 | 墙面瓷片碰角加工
R 28 | 勾缝处理
R 29 | 地面防水处理
R 30 | 地面防水保护层
R 31 | 墙面防水层
R 32 [FLOOR_MATCH=['地面保护']] | 地面保护
R 33 | 小计
R 34 | 棋牌室
R 35 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴（800MM））
R 36 | 窗帘盒
R 37 | 勾缝处理
R 38 | 石膏板平面天花
R 39 | 墙顶面基层加固
R 40 | 墙面基层处理（鸟巢腻子）
R 41 | 芬琳芬华五合一内墙乳胶漆
R 42 [FLOOR_MATCH=['地面保护']] | 地面保护
R 43 | 小计
R 44 | 车库
R 45 [FLOOR_MATCH=['地面找平']] | 地面找平
R 46 | 勾缝处理
R 47 | 石膏板平面天花
R 48 | 飘窗大理石铺贴
R 49 | 墙顶面基层加固
R 50 | 墙面基层处理（鸟巢腻子）
R 51 | 芬琳芬华五合一内墙乳胶漆
R 52 [FLOOR_MATCH=['地面保护']] | 地面保护
R 53 | 小计
R 54 | 二楼
R 55 | 客餐厅及楼梯
R 56 | 窗帘盒
R 57 | 石膏板平面天花
R 58 | 造型天花
R 59 | 天花虚光灯槽
R 60 | 天花预埋灯槽
R 61 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（750*1500MM）
R 62 | 勾缝处理
R 63 | 造型基层
R 64 | 墙顶面基层加固
R 65 | 墙面基层处理（鸟巢腻子）
R 66 | 芬琳芬华五合一内墙乳胶漆
R 67 | 墙面漆护角
R 68 | 防潮处理
R 69 [FLOOR_MATCH=['地面保护']] | 地面保护
R 70 | 小计
R 71 | 公卫
R 72 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴（300-800MM））
R 73 | 墙面贴瓷片
R 74 | 墙面瓷砖刷背胶
R 75 | 墙面瓷片碰角加工
R 76 | 勾缝处理
R 77 | 地面防水处理
R 78 | 地面防水保护层
R 79 | 墙面防水层
R 80 [FLOOR_MATCH=['地面保护']] | 地面保护
R 81 | 小计
R 82 | 厨房
R 83 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（750*1500MM）
R 84 | 墙面贴瓷片
R 85 | 墙面瓷砖刷背胶
R 86 | 墙面瓷片碰角加工
R 87 | 勾缝处理
R 88 | 地面防水处理
R 89 [FLOOR_MATCH=['地面保护']] | 地面保护
R 90 | 小计
R 91 | 老人房
R 92 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴800）
R 93 | 窗帘盒
R 94 | 勾缝处理
R 95 | 造型天花
R 96 | 墙顶面基层加固
R 97 | 墙面基层处理（鸟巢腻子）
R 98 | 芬琳芬华五合一内墙乳胶漆
R 99 [FLOOR_MATCH=['地面保护']] | 地面保护
R100 | 小计
R101 | 储物间
R102 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴800）
R103 | 勾缝处理
R104 | 造型天花
R105 | 墙顶面基层加固
R106 | 墙面基层处理（鸟巢腻子）
R107 | 芬琳芬华五合一内墙乳胶漆
R108 [FLOOR_MATCH=['地面保护']] | 地面保护
R109 | 小计
R110 | 外花园
R111 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R112 | 围墙墙面贴瓷片
R113 | 墙面瓷砖刷背胶
R114 | 墙面瓷片碰角加工
R115 | 勾缝处理
R116 | 沉箱架空处理
R117 | 地面自粘防水卷材
R118 | 卷材防水保护层
R119 [FLOOR_MATCH=['地面保护']] | 地面保护
R120 | 小计
R121 | 茶室
R122 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R123 | 围墙墙面贴瓷片
R124 | 墙面瓷砖刷背胶
R125 | 墙面瓷片碰角加工
R126 | 阳台木制地台
R127 | 勾缝处理
R128 | 沉箱架空处理
R129 | 地面自粘防水卷材
R130 | 卷材防水保护层
R131 [FLOOR_MATCH=['地面保护']] | 地面保护
R132 | 小计
R133 | 三楼
R134 | 过道及楼梯
